iter	Passed	Remaining
400	32029	7907
401	32108	7827
402	32187	7747
403	32264	7666
404	32346	7587
405	32422	7506
406	32503	7427
407	32587	7348
408	32665	7267
409	32745	7188
410	32826	7108
411	32905	7028
412	32985	6948
413	33066	6868
414	33148	6789
415	33229	6709
416	33314	6630
417	33397	6551
418	33480	6472
419	33561	6392
420	33642	6312
421	33720	6232
422	33803	6153
423	33883	6073
424	33964	5993
425	34048	5914
426	34130	5834
427	34210	5755
428	34290	5675
429	34373	5595
430	34453	5515
431	34535	5436
432	34614	5356
433	34694	5276
434	34773	5196
435	34856	5116
436	34935	5036
437	35014	4956
438	35094	4876
439	35175	4796
440	35254	4716
441	35333	4636
442	35414	4556
443	35493	4476
444	35570	4396
445	35650	4316
446	35734	4236
447	35814	4157
448	35894	4077
449	35976	3997
450	36054	3917
451	36138	3837
452	36226	3758
453	36307	3678
454	36387	3598
455	36468	3518
456	36548	3438
457	36627	3358
458	36705	3278
459	36784	3198
460	36864	3118
461	36944	3038
462	37022	2958
463	37104	2878
464	37184	2798
465	37262	2718
466	37345	2638
467	37428	2559
468	37508	2479
469	37590	2399
470	37669	2319
471	37749	2239
472	37828	2159
473	37909	2079
474	37988	1999
475	38068	1919
476	38146	1839
477	38227	1759
478	38306	1679
479	38389	1599
480	38394	1516
481	38473	1436
482	38555	1357
483	38635	1277
484	38717	1197
485	38799	1117
486	38879	1037
487	38959	958
488	39039	878
489	39122	798
490	39202	718
491	39280	638
492	39361	558
493	39442	479
494	39520	399
495	39600	319
496	39680	239
497	39763	159
498	39843	79
499	39924	0
